CD,Region,소분류(11개 타입),배출량,전체 배출량,비중,code1,인간제외 소분류(기타시 중분류),code2,,,
26530,사상구,인간,"50,733","61,185",83%,1,주거용시설,10,,,
26380,사하구,SCR,"164,022","332,049",49%,14,SCR,14,,,
26140,서구,인간,"26,022","30,607",85%,1,농업.축산.수산업시설,9,,,
26500,수영구,인간,"43,630","50,780",86%,1,주거용시설,10,,,
26470,연제구,인간,"51,442","58,430",88%,1,주거용시설,10,,,
26200,영도구,인간,"26,637","34,107",78%,1,농업.축산.수산업시설,9,,,
26110,중구,인간,"9,655","16,080",60%,1,상업 및 공공기관시설,11,,,
26350,해운대구,인간,"95,112","114,468",83%,1,주거용시설,10,,,
11680,강남구,인간,"136,218","167,361",81%,1,상업 및 공공기관시설,11,,,
11740,강동구,인간,"114,792","131,412",87%,1,주거용시설,10,,,
11305,강북구,인간,"72,028","80,088",90%,1,주거용시설,10,,,
11500,강서구,인간,"140,764","170,657",82%,1,농경지,8,,,
11620,관악구,인간,"120,489","134,632",89%,1,주거용시설,10,,,
11215,광진구,인간,"83,889","95,514",88%,1,주거용시설,10,,,
11530,구로구,인간,"98,101","111,281",88%,1,주거용시설,10,,,
11545,금천구,인간,"56,870","66,115",86%,1,주거용시설,10,,,
11350,노원구,인간,"124,553","146,359",85%,1,SCR,14,,,
11320,도봉구,인간,"76,737","86,748",88%,1,주거용시설,10,,,
11230,동대문구,인간,"85,287","96,511",88%,1,주거용시설,10,,,
11590,동작구,인간,"94,692","106,691",89%,1,주거용시설,10,,,
11440,마포구,SCR,"111,241","256,069",43%,14,SCR,14,,,
11410,서대문구,인간,"76,558","86,733",88%,1,주거용시설,10,,,
11650,서초구,인간,"101,916","126,167",81%,1,주거용시설,10,,,
11200,성동구,인간,"69,340","82,201",84%,1,주거용시설,10,,,
11290,성북구,인간,"106,400","120,764",88%,1,주거용시설,10,,,
11710,송파구,인간,"163,542","192,444",85%,1,주거용시설,10,,,
11470,양천구,인간,"109,007","127,923",85%,1,SCR,14,,,
11560,영등포구,인간,"93,699","109,645",85%,1,주거용시설,10,,,
11170,용산구,인간,"53,288","64,731",82%,1,주거용시설,10,,,
11380,은평구,인간,"116,693","131,471",89%,1,주거용시설,10,,,
11110,종로구,인간,"34,854","44,464",78%,1,주거용시설,10,,,
11140,중구,인간,"30,328","40,010",76%,1,상업 및 공공기관시설,11,,,
11260,중랑구,인간,"95,539","107,568",89%,1,주거용시설,10,,,
36110,세종시,닭,"902,861","2,381,125",38%,5,닭,5,,,
31140,남구,SCR,"293,279","913,644",32%,14,SCR,14,,,
31170,동구,인간,"38,072","53,415",71%,1,기타 운송장비 제조업,18,,,
31200,북구,인간,"54,119","159,524",34%,1,일반 소,2,,,
31710,울주군,일반 소,"500,168","1,213,116",41%,2,일반 소,2,,,
31110,중구,인간,"52,167","67,137",78%,1,일반 소,2,,,
28710,강화군,일반 소,"257,469","566,674",45%,2,일반 소,2,,,
28245,계양구,인간,"70,067","102,167",69%,1,차,19,,,
28200,남동구,돼지,"132,251","313,882",42%,3,돼지,3,,,
28140,동구,인간,"14,870","26,090",57%,1,강철 재가열로,13,,,
28177,미추홀구,인간,"101,499","135,797",75%,1,돼지,3,,,
28237,부평구,인간,"123,534","158,540",78%,1,닭,5,,,
28260,서구,SCR,"474,661","979,616",48%,14,SCR,14,,,
28185,연수구,인간,"98,104","171,715",57%,1,SCR,14,,,
28720,옹진군,SCR,"1,328,025","1,375,735",97%,14,SCR,14,,,
28110,중구,인간,"39,740","108,173",37%,1,공정로(제조업),12,,,
46810,강진군,일반 소,"608,449","1,256,148",48%,2,일반 소,2,,,
46770,고흥군,일반 소,"662,848","1,657,401",40%,2,일반 소,2,,,
46720,곡성군,일반 소,"336,141","927,192",36%,2,일반 소,2,,,
46230,광양시,코우크스 오븐(누출 및 소화),"686,050","1,209,739",57%,16,코우크스 오븐(누출 및 소화),16,,,
46730,구례군,기타 가금류,"273,393","571,665",48%,7,가금류,6,,,
46170,나주시,돼지,"886,929","3,758,436",24%,3,돼지,3,,,
46710,담양군,돼지,"422,575","1,101,722",38%,3,돼지,3,,,
46110,목포시,돼지,"202,812","286,990",71%,3,돼지,3,,,
46840,무안군,돼지,"1,605,732","3,084,212",52%,3,돼지,3,,,
46780,보성군,일반 소,"435,043","1,255,158",35%,2,일반 소,2,,,
46150,순천시,돼지,"1,035,247","1,782,930",58%,3,돼지,3,,,
46910,신안군,농경지,"221,826","535,645",41%,8,농경지,8,,,
46130,여수시,SNCR,"706,814","1,733,382",41%,15,SNCR,15,,,
46870,영광군,돼지,"493,289","1,587,995",31%,3,돼지,3,,,
46830,영암군,일반 소,"901,050","2,522,618",36%,2,일반 소,2,,,
46890,완도군,일반 소,"156,547","248,520",63%,2,일반 소,2,,,
46880,장성군,돼지,"417,869","1,045,572",40%,3,돼지,3,,,
46800,장흥군,일반 소,"915,104","1,779,157",51%,2,일반 소,2,,,
46900,진도군,농경지,"116,342","293,833",40%,8,농경지,8,,,
46860,함평군,돼지,"999,629","2,782,635",36%,3,돼지,3,,,
46820,해남군,일반 소,"818,253","1,706,929",48%,2,일반 소,2,,,
46790,화순군,일반 소,"385,612","963,702",40%,2,일반 소,2,,,
