CD,Region,돼지,소,dominant
44131,천안시 동남구,"1,781,284","385,469",돼지
44133,천안시 서북구,"377,215","179,944",돼지
44790,청양군,"455,985","449,982",돼지
44825,태안군,"89,431","124,264",일반 소
44800,홍성군,"5,067,876","924,257",돼지
43760,괴산군,"1,057,160","274,932",돼지
43800,단양군,"29,241","39,116",일반 소
43720,보은군,"221,712","583,498",일반 소
43740,영동군,"78,055","149,458",일반 소
43730,옥천군,"224,899","334,516",일반 소
43770,음성군,"552,856","353,866",돼지
43150,제천시,"167,530","246,978",일반 소
43745,증평군,"137,993","77,050",돼지
43750,진천군,"575,964","246,670",돼지
43111,청주시 상당구,"172,391","330,464",일반 소
43112,청주시 서원구,"69,346","81,242",일반 소
43114,청주시 청원구,"349,809","430,297",일반 소
43113,청주시 흥덕구,"119,765","206,973",일반 소
43130,충주시,"761,739","373,221",돼지
