SIG_CD,SIG_KOR_NM,density,log_density,local_I_density,local_p_sim_density,local_q_density,lisa_sig_density,lisa_cluster_density,lisa_hh_density
41113,¼ö¿ø½Ã ±Ç¼±±¸,3024.156018411034,8.014717945469155,-0.08270958296330175,0.062,2,False,Not significant,False
41115,¼ö¿ø½Ã ÆÈ´Þ±¸,6990.384792122966,8.852433926067652,0.8016406693288247,0.21,1,False,Not significant,False
41117,¼ö¿ø½Ã ¿µÅë±¸,5969.835664554398,8.694642173903032,0.6426439229301475,0.143,1,False,Not significant,False
41131,¼º³²½Ã ¼öÁ¤±¸,1612.9744155507897,7.38645499712482,-0.254784408805854,0.266,2,False,Not significant,False
41133,¼º³²½Ã Áß¿ø±¸,2560.0790366129927,7.848183947344944,-0.016432605252452093,0.432,2,False,Not significant,False
41135,¼º³²½Ã ºÐ´ç±¸,5731.552816296726,8.653916228173562,-0.5914552803501846,0.23,4,False,Not significant,False
41150,ÀÇÁ¤ºÎ½Ã,3073.4049659441603,8.030866654505692,-0.03490705711368184,0.168,2,False,Not significant,False
41171,¾È¾ç½Ã ¸¸¾È±¸,1848.6058032152673,7.522727816024643,-0.38467978018867743,0.107,2,False,Not significant,False
41173,¾È¾ç½Ã µ¿¾È±¸,12194.974053009628,9.408861180605852,-1.2632867004945263,0.363,4,False,Not significant,False
41192,ºÎÃµ½Ã ¿ø¹Ì±¸,5371.316824589393,8.589014532931117,1.3679443203689503,0.041,1,True,HH,True
41194,ºÎÃµ½Ã ¼Ò»ç±¸,8606.290020155466,9.060364799928822,1.9167170251988532,0.177,1,False,Not significant,False
41196,ºÎÃµ½Ã ¿ÀÁ¤±¸,5512.507187422276,8.614956212802177,0.8191716155390472,0.177,1,False,Not significant,False
41210,±¤¸í½Ã,2973.9700765560656,7.997989259628663,0.05282869638830684,0.235,3,False,Not significant,False
41220,ÆòÅÃ½Ã,6044.744194604471,8.707109864587299,0.5565972281296007,0.18,1,False,Not significant,False
41250,µ¿µÎÃµ½Ã,5829.778649112315,8.670905829450737,0.7051945594595337,0.168,1,False,Not significant,False
41271,¾È»ê½Ã »ó·Ï±¸,2600.5752484457353,7.863872405334423,0.04388443117494349,0.466,3,False,Not significant,False
41273,¾È»ê½Ã ´Ü¿ø±¸,2758.553191494011,7.922824058466207,0.07505810990644175,0.315,3,False,Not significant,False
41281,°í¾ç½Ã ´ö¾ç±¸,1700.9691091883394,7.4395411592555325,-0.23294299358226384,0.209,2,False,Not significant,False
41285,°í¾ç½Ã ÀÏ»êµ¿±¸,6419.1512876591905,8.767196961462304,-0.39963693063900346,0.331,4,False,Not significant,False
41287,°í¾ç½Ã ÀÏ»ê¼­±¸,3717.342824262552,8.221033370663903,0.08098600820704731,0.26,1,False,Not significant,False
41290,°úÃµ½Ã,719.268975250194,6.579624718984067,-0.17104085067158467,0.36,2,False,Not significant,False
41310,±¸¸®½Ã,1957.0612102300754,7.579710084210645,-0.18558432742221695,0.321,2,False,Not significant,False
41360,³²¾çÁÖ½Ã,1208.199325508181,7.0977137051050985,-0.0,0.001,3,True,LL,False
41370,¿À»ê½Ã,4323.698580336176,8.37209772452953,0.0,0.001,4,True,HL,False
41390,½ÃÈï½Ã,1744.117749099271,7.4645773103538415,-0.01452088266638354,0.437,2,False,Not significant,False
41410,±ºÆ÷½Ã,2841.0783486280743,7.952290876407972,-0.2264005086768966,0.042,2,True,LH,False
41430,ÀÇ¿Õ½Ã,1094.9073620767663,6.99933794028305,-0.0,0.001,3,True,LL,False
41450,ÇÏ³²½Ã,2675.3082290657635,7.892193597375096,-0.03869782397200599,0.355,2,False,Not significant,False
41461,¿ëÀÎ½Ã Ã³ÀÎ±¸,4053.951691627208,8.307694053193028,0.4628211519114113,0.018,1,True,HH,True
41463,¿ëÀÎ½Ã ±âÈï±¸,3368.454481885969,8.122506135431982,0.049717452047831456,0.113,1,False,Not significant,False
41465,¿ëÀÎ½Ã ¼öÁö±¸,11105.527604990495,9.315288286975207,0.0,0.001,4,True,HL,False
41480,ÆÄÁÖ½Ã,1913.6031988016034,7.557265673252319,-0.15669717484155662,0.28,2,False,Not significant,False
