SIG_CD,SIG_KOR_NM,배출량,area_km2,density,log_density,hotspot_p10,hotspot_p15,hotspot_p20,cluster_density_spatial_k4,hotspot_kmeans_density_spatial_k4,돼지,소,dominant,dominant_group
51150,°­¸ª½Ã,1293962,1038.2977219967474,1246.2340738950918,7.12868363768395,False,False,False,1,False,215236,115671,돼지,돼지
51170,µ¿ÇØ½Ã,933876,180.59812662239958,5171.017094504963,8.551018045088329,False,False,True,3,False,1971,13936,일반 소,소
51190,ÅÂ¹é½Ã,82566,303.22308022802684,272.29457578858944,5.6105502456407965,False,False,False,1,False,10420,25196,일반 소,소
51210,¼ÓÃÊ½Ã,38503,105.5047218397064,364.94101238897827,5.902472152076229,False,False,False,1,False,0,3123,일반 소,소
51230,»ïÃ´½Ã,1313616,1185.3685732425606,1108.192025377069,7.011387124189155,False,False,False,1,False,8224,167814,일반 소,소
51720,È«Ãµ±º,1249273,1816.1574891790815,687.8660069092807,6.535046777368457,False,False,False,1,False,396468,525514,일반 소,소
51730,È¾¼º±º,1591829,996.1779611669967,1597.9363748774501,7.377093921471588,False,False,False,1,False,104187,891410,일반 소,소
51750,¿µ¿ù±º,408365,1126.9175967320527,362.3734345654174,5.895431050828253,False,False,False,1,False,19737,193273,일반 소,소
51760,ÆòÃ¢±º,503035,1462.7675047303128,343.8926544192978,5.8432332220044785,False,False,False,1,False,107490,211721,일반 소,소
51770,Á¤¼±±º,248438,1218.57096523417,203.87651362779536,5.322407425091835,False,False,False,1,False,559,147232,일반 소,소
51780,Ã¶¿ø±º,2125199,830.2592182897769,2559.6813057705353,7.848028637132568,False,False,False,2,True,1253148,278131,돼지,돼지
51790,È­Ãµ±º,365709,906.8448679220227,403.2762525722827,6.002098437776647,False,False,False,1,False,87085,151915,일반 소,소
51800,¾ç±¸±º,241019,647.6917632428023,372.1199090031479,5.921899839841115,False,False,False,1,False,0,124414,일반 소,소
51810,ÀÎÁ¦±º,205845,1615.107023870825,127.44975841084778,4.855537842751071,False,False,False,1,False,3288,113930,일반 소,소
51820,°í¼º±º,300103,585.5961224302134,512.4743633113176,6.241200102730512,False,False,False,1,False,52640,170995,일반 소,소
51830,¾ç¾ç±º,300191,629.0695651768249,477.19841591067825,6.1700257424103695,False,False,False,1,False,122973,118186,돼지,돼지
52111,ÀüÁÖ½Ã ¿Ï»ê±¸,744639,92.13485765279049,8082.055141455435,8.997525191615244,True,True,True,0,False,598323,5480,돼지,돼지
52113,ÀüÁÖ½Ã ´öÁø±¸,335817,113.15226625610453,2967.832736464373,7.995924136519456,False,False,False,0,False,110548,13033,돼지,돼지
52130,±º»ê½Ã,1981875,395.1479308943732,5015.526705439776,8.520493081871836,False,False,True,0,False,535945,187131,돼지,돼지
52140,ÀÍ»ê½Ã,2828482,507.0341776792303,5578.48390604826,8.626851561142388,False,True,True,0,False,1307427,596272,돼지,돼지
52180,Á¤À¾½Ã,4568882,697.1499072984714,6553.657903656467,8.787931206225167,True,True,True,0,False,1888629,1452619,돼지,돼지
52190,³²¿ø½Ã,2459092,749.6753757421803,3280.209113932138,8.095967265746381,False,False,False,0,False,763215,615596,돼지,돼지
52210,±èÁ¦½Ã,3208643,545.8536570848354,5878.211052273521,8.679177857107016,False,True,True,0,False,1189374,681698,돼지,돼지
52710,¿ÏÁÖ±º,1251928,821.3643796830139,1524.2053721433012,7.32988435023219,False,False,False,0,False,398294,566489,일반 소,소
52720,Áø¾È±º,521543,788.3430996814474,661.568548276435,6.4961240216043254,False,False,False,0,False,93635,140461,일반 소,소
52730,¹«ÁÖ±º,307538,629.5290602641762,488.5207362324853,6.193426823141725,False,False,False,1,False,93070,127944,일반 소,소
52740,Àå¼ö±º,1095011,531.6669028027741,2059.5809034330705,7.630743213989168,False,False,False,0,False,300034,521937,일반 소,소
52750,ÀÓ½Ç±º,1273599,596.331814724507,2135.722040234222,7.6670281767770465,False,False,False,0,False,675434,311396,돼지,돼지
52770,¼øÃ¢±º,1289181,499.41238946760893,2581.3957106156536,7.856472817067301,False,False,False,0,False,446280,439834,돼지,돼지
52790,°íÃ¢±º,2793529,606.4930115443848,4606.0365854612355,8.435340106180972,False,False,False,0,False,957368,631037,돼지,돼지
52800,ºÎ¾È±º,1988504,493.4925645189263,4029.450781975738,8.30163350525491,False,False,False,0,False,315195,515362,일반 소,소
